genes_ens	genes_symb	DMSO_24h_1	DMSO_24h_2	DMSO_24h_3	DMSO_24h_4	Enz_1uM_24h_1	Enz_1uM_24h_2	Enz_1uM_24h_3	Enz_1uM_24h_4	siCon_48h_1	siCon_48h_2	siCon_48h_3	siCon_48h_4	siAR_48h_1	siAR_48h_2	siAR_48h_3	siAR_48h_4
ENSG00000275140	CH17-478G19.2	2.411317788	3.081352734	2.696959975	2.377346381	3.370407322	3.023176863	3.112911296	3.27829968	3.613529834	2.805201105	2.951583812	1.986526285	3.020219452	4.212956162	3.654104444	3.265918967
ENSG00000275183	LENG9	21.12314382	28.41691966	31.65996492	47.37082789	30.71587704	31.34992994	29.78173345	37.30705036	33.24447447	34.00590727	30.38095752	64.60183479	25.45613538	30.0256717	11.15983249	28.38837256
ENSG00000275185	RP13-753N3.3	5.78716269	1.331448712	1.582998246	1.584897587	1.111886952	1.656535268	1.393840879	1.114621891	1.5010047	1.831968068	2.086464419	1.827604182	0.647189883	0.936212481	6.913170571	2.009796287
ENSG00000275202	RP11-156K23.3	1.543243384	1.787945414	1.876146069	1.937097051	1.494098091	1.697948649	1.997838593	2.55707375	1.3342264	0.400743015	1.882906915	1.430298925	1.348312255	1.671808001	0.691317057	1.318928813
ENSG00000275221	HIST1H2AK	0.289358135	0.951034794	0.644925211	1.144648257	0.972901083	1.035334542	0.603997714	1.245753878	0.5003349	1.259478047	0.661561889	0.953532617	0.970784824	0.869340161	0.987595796	0.690867474
ENSG00000275234	CTD-2396E7.11	16.10760282	17.08058491	13.83657726	15.49677641	15.94862846	13.66641596	17.09778145	15.21131051	22.12592114	21.69737181	19.33796291	21.21610072	21.68086107	27.3507789	16.39409021	18.33939112
ENSG00000275236	AC009120.11	2.025506942	0.912993403	0.938073035	0.88049866	1.111886952	0.993921161	1.300918154	1.180187885	0.945077033	1.431225053	1.017787521	0.874071565	0.701122373	2.139914241	1.382634114	0.376836804
ENSG00000275263	RP11-1072A3.4	0.482263558	0.456496701	1.055332164	0.704398928	0.521197009	0.662614107	0.743381802	0.590093942	0.6671132	0.744237028	0.458004385	0.476766308	1.132582294	1.203701761	0.197519159	1.256122679
ENSG00000275325	PDCD6IPP1	10.22398742	7.037657479	8.149509489	6.075440751	5.872152963	7.330168559	7.619663472	6.491033366	6.393168168	6.240141233	7.887853291	5.800656752	6.202236374	3.477360642	9.974717538	7.159899273
ENSG00000275342	SGK223	4.533277441	8.445188974	8.911693829	11.62258231	3.335660855	3.975684642	3.809831736	5.179713494	8.005358401	7.270623271	7.175402026	7.787183037	2.319097079	2.273658881	2.37022991	2.700663761
ENSG00000275367	RP11-266K4.14	2.507770499	1.902069589	1.348479987	1.232698123	2.744970912	1.697948649	2.090761318	1.770281827	0.722705967	1.259478047	0.916008769	1.11245472	1.779772177	1.471191041	3.456585285	1.067704278
ENSG00000275395	FCGBP	9.934629285	17.15666769	15.88861202	22.80491528	19.84023279	23.43997404	21.97622452	28.84903718	9.673141401	16.65945962	12.62056527	16.05113238	15.69435465	18.99173889	7.406968468	16.58081937
ENSG00000275400	RP4-756H11.5	1.92905423	1.978152372	1.113961729	1.760997319	2.258520371	2.526216283	1.76553178	1.770281827	1.556597467	2.003715075	1.882906915	2.701675748	1.294379765	2.741765122	1.678912853	2.261020823
ENSG00000275410	HNF1B	6.172973536	11.60262449	11.49139467	11.8867319	13.72485456	13.08662861	14.07779288	12.39197279	10.3402546	9.274338346	9.210977069	8.899637757	13.10559512	10.43208193	8.592083423	10.36301211
ENSG00000275437	RP5-908M14.10	1.446790673	3.385683868	1.641627811	2.201246649	3.161928519	3.934271261	2.415990857	4.655185545	1.389819167	1.030482038	1.017787521	1.032993668	1.833704667	0.73559552	0.691317057	1.821377885
ENSG00000275441	RP11-666O2.2	6.365878959	3.42372526	5.862956467	4.666642896	4.0305902	3.18883039	4.785520351	4.91744952	4.892163467	5.89664722	3.664035077	3.496286262	6.040438904	8.760273925	7.802006787	8.164797417
ENSG00000275445	CTD-2649C14.3	0	0.951034794	1.407109552	0.88049866	0.938154615	0.911094397	0.88276589	1.245753878	1.056262567	1.316727049	1.577570658	1.907065234	0.970784824	1.270574081	0.296278739	0.94209201
ENSG00000275454	CTD-2026K11.4	2.025506942	1.749904022	1.641627811	1.496847721	1.250872821	1.118161306	0.929227253	0.655659936	1.556597467	1.431225053	1.882906915	1.907065234	0.916852334	1.872424961	4.542940661	1.381734947
ENSG00000275457	RP1-198K11.5	3.086486768	3.575890827	4.045439962	5.371041824	2.814463846	2.69186981	3.809831736	3.147167693	1.667783	3.263193122	1.67934941	2.701675748	4.476396688	5.282913283	3.259066126	4.773266182
ENSG00000275464	CH507-9B2.5	14.95017028	18.71636475	21.98608675	21.48416729	18.76309231	18.26330133	17.70177916	19.07970414	16.62223724	17.00295363	16.33548972	16.13059343	18.55277663	17.98865409	10.46851544	21.47969782
ENSG00000275494	RP11-266L9.8	4.147466595	6.581160777	7.094177325	9.421335658	5.66367416	5.715046673	6.969204395	7.802353238	7.338245201	7.957611297	5.954057001	9.535326168	7.49661614	12.03701761	2.172710751	10.92826731
